rater_id,reference,stimulus,consonance,pleasantness_vs_ref
ANDLC,livelypublicgarden,livelypublicgarden__level_m6.wav,3,5
ANDLC,livelypublicgarden,livelypublicgarden__level_p6.wav,3,6
ANDLC,livelypublicgarden,livelypublicgarden__lp_1kHz.wav,5,5
ANDLC,livelypublicgarden,livelypublicgarden__lp_2kHz.wav,3,3
ANDLC,livelypublicgarden,livelypublicgarden__lp_4kHz.wav,4,5
ANDLC,livelypublicgarden,livelypublicgarden__am70_d10.wav,1,1
ANDLC,livelypublicgarden,livelypublicgarden__am70_d05.wav,1,1
ANDLC,adult_female_speech,adult_female_speech__level_m6.wav,5,3
ANDLC,adult_female_speech,adult_female_speech__level_p6.wav,5,3
ANDLC,adult_female_speech,adult_female_speech__lp_1kHz.wav,3,3
ANDLC,adult_female_speech,adult_female_speech__lp_2kHz.wav,3,2
ANDLC,adult_female_speech,adult_female_speech__lp_4kHz.wav,2,3
ANDLC,adult_female_speech,adult_female_speech__am70_d10.wav,1,1
ANDLC,adult_female_speech,adult_female_speech__am70_d05.wav,1,1
ANDLC,refrigerator,refrigerator__level_m6.wav,6,5
ANDLC,refrigerator,refrigerator__level_p6.wav,6,3
ANDLC,refrigerator,refrigerator__lp_1kHz.wav,5,5
ANDLC,refrigerator,refrigerator__lp_2kHz.wav,5,4
ANDLC,refrigerator,refrigerator__lp_4kHz.wav,4,3
ANDLC,refrigerator,refrigerator__am70_d10.wav,1,1
ANDLC,refrigerator,refrigerator__am70_d05.wav,1,1
ANDLC,blues,blues__level_m6.wav,6,5
ANDLC,blues,blues__level_p6.wav,5,4
ANDLC,blues,blues__lp_1kHz.wav,6,5
ANDLC,blues,blues__lp_2kHz.wav,3,4
ANDLC,blues,blues__lp_4kHz.wav,3,3
ANDLC,blues,blues__am70_d10.wav,1,1
ANDLC,blues,blues__am70_d05.wav,1,1
